Номер выстрела,Координата X,Координата Y,Сообщение о попадании
373,4.01,0.63,False
374,3.04,4.97,False
375,3.27,-2.21,False
376,2.77,4.85,False
377,3.04,2.56,True
378,0.63,-2.27,False
379,0.3,-1.51,False
380,3.47,5.05,False
381,0.93,-3.01,False
382,4.55,4.34,True
383,1.61,3.59,False
384,2.7,2.15,True
385,1.14,-2.84,False
386,1.79,0.08,True
387,1.31,2.36,False
388,4.51,1.57,False
389,1.42,-0.94,False
390,2.79,1.11,True
391,0.89,2.45,False
392,0.97,2.1,False
393,4.45,-1.55,False
394,1.9,-0.57,False
395,2.69,2.86,False
396,4.15,4.5,False
397,4.32,-1.52,False
398,3.92,-2.44,False
399,3.6,-1.71,False
400,4.01,2.93,True
401,4.98,-1.6,False
402,2.02,1.8,True
403,3.49,2.32,True
404,4.8,-2.04,False
405,2.98,4.98,False
406,1.35,-0.88,False
407,1.72,0.62,True
408,0.14,2.11,False
409,5.0,4.18,False
410,0.4,3.31,False
411,3.9,4.78,False
412,5.06,4.63,False
413,4.18,0.48,False
414,3.36,1.69,True
415,3.19,1.74,True
416,0.48,3.6,False
417,0.38,2.92,False
418,1.11,-1.4,True
419,4.11,0.57,False
420,2.07,-0.25,False
421,4.78,3.56,False
422,3.72,2.1,True
423,4.26,2.0,False
424,2.88,-1.3,False
425,0.38,0.27,True
426,4.81,-3.18,False
427,5.19,2.3,False
428,2.21,-2.42,True
429,2.94,-2.39,False
430,4.06,0.56,False
431,2.68,-2.16,False
432,3.27,2.05,True
433,2.49,-0.96,False
434,0.4,-2.74,False
435,5.16,1.93,False
436,3.66,0.36,True
437,3.69,5.0,False
438,4.52,-2.27,False
439,2.65,2.89,False
440,2.12,5.12,False
441,3.15,0.21,True
442,3.95,-0.67,False
443,5.18,-1.35,False
444,1.51,3.66,False
445,3.34,2.84,True
446,4.74,3.16,False
447,3.13,-2.9,False
448,3.13,-0.86,False
449,0.69,-2.96,False
450,0.71,2.71,False
451,1.64,2.92,False
452,0.22,-2.73,False
453,3.09,4.38,False
454,1.15,-2.37,False
455,2.03,4.18,False
456,3.8,-1.98,False
457,0.47,1.38,False
458,0.83,3.53,False
459,3.95,2.54,True
460,3.22,2.98,True
461,4.26,-2.75,False
462,1.72,3.55,False
463,2.34,2.87,False
464,5.08,5.2,False
465,0.36,0.17,True
466,4.72,3.49,False
467,2.71,1.5,True
468,4.7,3.34,False
469,2.35,0.61,True
470,3.8,1.3,True
471,5.05,5.12,False
472,4.81,-1.79,False
473,1.04,0.78,True
474,1.44,1.97,False
475,2.99,-2.36,False
476,3.77,2.23,True
477,3.22,0.15,True
478,2.3,0.33,True
479,4.27,0.03,False
480,2.89,0.97,True
481,2.82,1.0,True
482,3.94,4.51,False
483,0.15,3.3,False
484,2.47,-0.92,False
485,1.95,4.64,False
486,4.4,-1.77,False
487,3.52,-0.01,False
488,2.92,-0.98,False
489,3.23,4.91,False
490,3.15,-1.76,False
491,4.54,-0.86,False
492,2.23,-1.4,False
493,3.25,1.9,True
494,0.1,0.41,False
495,3.34,4.42,False
496,1.25,-1.18,False
497,4.36,-0.27,False
498,4.71,0.88,False
499,3.92,4.78,False
500,0.28,1.74,False
